time_iso8601,forks_cumulative
2024-11-02 00:00:00+00:00,41679
2024-11-03 00:00:00+00:00,41683
2024-11-04 00:00:00+00:00,41687
2024-11-05 00:00:00+00:00,41697
2024-11-06 00:00:00+00:00,41705
2024-11-07 00:00:00+00:00,41722
2024-11-08 00:00:00+00:00,41727
2024-11-09 00:00:00+00:00,41742
2024-11-10 00:00:00+00:00,41749
2024-11-11 00:00:00+00:00,41762
2024-11-12 00:00:00+00:00,41779
2024-11-13 00:00:00+00:00,41793
2024-11-14 00:00:00+00:00,41803
2024-11-15 00:00:00+00:00,41812
2024-11-16 00:00:00+00:00,41817
2024-11-17 00:00:00+00:00,41828
2024-11-18 00:00:00+00:00,41837
2024-11-19 00:00:00+00:00,41850
2024-11-20 00:00:00+00:00,41868
2024-11-21 00:00:00+00:00,41882
2024-11-22 00:00:00+00:00,41893
2024-11-23 00:00:00+00:00,41906
2024-11-24 00:00:00+00:00,41914
2024-11-25 00:00:00+00:00,41928
2024-11-26 00:00:00+00:00,41938
2024-11-27 00:00:00+00:00,41948
2024-11-28 00:00:00+00:00,41958
2024-11-29 00:00:00+00:00,41964
2024-11-30 00:00:00+00:00,41969
2024-12-01 00:00:00+00:00,41978
2024-12-02 00:00:00+00:00,41985
2024-12-03 00:00:00+00:00,42004
2024-12-04 00:00:00+00:00,42019
2024-12-05 00:00:00+00:00,42033
2024-12-06 00:00:00+00:00,42045
2024-12-07 00:00:00+00:00,42051
2024-12-08 00:00:00+00:00,42062
2024-12-09 00:00:00+00:00,42077
2024-12-10 00:00:00+00:00,42086
2024-12-11 00:00:00+00:00,42096
2024-12-12 00:00:00+00:00,42105
2024-12-13 00:00:00+00:00,42114
2024-12-14 00:00:00+00:00,42129
2024-12-15 00:00:00+00:00,42140
2024-12-16 00:00:00+00:00,42149
2024-12-17 00:00:00+00:00,42165
2024-12-18 00:00:00+00:00,42177
2024-12-19 00:00:00+00:00,42189
2024-12-20 00:00:00+00:00,42200
